Temps,FrequenceCardiaque
1970-01-01T00:00:11.100Z,83.73298185714275
1970-01-01T00:00:11.200Z,83.17200514285713
1970-01-01T00:00:11.300Z,83.03659999999999
1970-01-01T00:00:11.400Z,81.443688857143
1970-01-01T00:00:11.500Z,80.19934285714294
1970-01-01T00:00:11.600Z,80.19934285714292
1970-01-01T00:00:11.700Z,80.84565971428567
1970-01-01T00:00:11.800Z,81.61897142857141
1970-01-01T00:00:11.900Z,81.57719814285713
1970-01-01T00:00:12.000Z,80.26582514285718
1970-01-01T00:00:12.100Z,78.68290000000006
1970-01-01T00:00:12.200Z,78.68290000000007
1970-01-01T00:00:12.300Z,78.92257300000009
1970-01-01T00:00:12.400Z,82.26568400000009
1970-01-01T00:00:12.500Z,88.16262185714295
1970-01-01T00:00:12.600Z,105.0953765714286
1970-01-01T00:00:12.700Z,103.41698571428573
1970-01-01T00:00:12.800Z,103.41698571428576
1970-01-01T00:00:12.900Z,103.00330228571443
1970-01-01T00:00:13.000Z,103.33599857142866
1970-01-01T00:00:13.100Z,103.45123771428578
1970-01-01T00:00:13.200Z,101.87559642857138
1970-01-01T00:00:13.300Z,103.0581021428571
1970-01-01T00:00:13.400Z,112.75030728571427
1970-01-01T00:00:13.500Z,126.46095614285716
1970-01-01T00:00:13.600Z,123.76554885714287
1970-01-01T00:00:13.700Z,122.96329728571428
1970-01-01T00:00:13.800Z,122.36404157142857
1970-01-01T00:00:13.900Z,122.96102785714285
1970-01-01T00:00:14.000Z,116.59197899999987
1970-01-01T00:00:14.100Z,107.05980299999985
1970-01-01T00:00:14.200Z,108.10566928571423
1970-01-01T00:00:14.300Z,109.27884285714282
1970-01-01T00:00:14.400Z,109.27884285714282
1970-01-01T00:00:14.500Z,109.48840671428566
1970-01-01T00:00:14.600Z,195.9623085714286
1970-01-01T00:00:14.700Z,129.2355195714285
1970-01-01T00:00:14.800Z,132.7264714285714
1970-01-01T00:00:14.900Z,130.42404685714286
1970-01-01T00:00:15.000Z,128.61758571428572
1970-01-01T00:00:15.100Z,128.62605000000005
1970-01-01T00:00:15.200Z,150.1319837142858
1970-01-01T00:00:15.300Z,192.03985300000022
1970-01-01T00:00:15.400Z,141.97529857142865
1970-01-01T00:00:15.500Z,156.1851885714286
1970-01-01T00:00:15.600Z,156.46817471428557
1970-01-01T00:00:15.700Z,129.87646685714284
